,0
1445,810386
1446,1305473
1447,1164062
1448,1455139
1449,1320769
1450,1476225
1451,1567634
1452,1603001
1453,732847
1454,1280054
1455,1389479
1456,1431256
1457,1284812
1458,102909
1459,1308016
1460,1091559
1461,1601904
1462,1105344
1463,1454949
1464,1113000
1465,1512746
1466,1510669
1467,936753
1468,1537191
1469,1602999
1470,1362255
1471,1511566
1472,1102062
1473,1536444
1474,1598180
1475,1541787
1476,1665518
1477,1535630
1478,860176
1479,29915
1480,949615
1481,1468685
1482,701853
1483,1438129
1484,1599623
1485,1383161
1486,860662
1487,1032165
1488,1126395
1489,1453526
1490,1568814
1491,775368
1492,1274173
1493,1303159
1494,1508612
1495,1039765
1496,1079112
1497,1642140
1498,1365559
1499,1626757
1500,1333709
1501,1387322
1502,1134008
1503,1317904
1504,1348904
1505,928047
1506,1115418
1507,926688
1508,1326234
1509,1336528
1510,1599603
1511,914208
1512,1605826
1513,1079161
1514,1425999
1515,1387869
1516,1002672
1517,1430427
1518,1592614
1519,1509510
1520,1362598
1521,1408103
1522,1642044
1523,1548179
1524,1492815
1525,1547831
1526,1594540
1527,1611457
1528,1427684
1529,1532516
1530,1569241
1531,1392910
1532,53417
1533,1074266
1534,1406995
1535,1638902
1536,1426876
1537,1596920
1538,1587143
1539,1479058
1540,313028
1541,1535110
1542,1600083
1543,1588225
1544,14661
1545,1517137
1546,1504941
1547,1315478
1548,1559673
1549,1521001
1550,1167388
1551,1663897
1552,783827
1553,1653199
1554,1317410
1555,1496147
1556,1260101
1557,1427165
1558,1374022
1559,1339908
1560,1041241
1561,1020918
1562,1105863
1563,1387130
1564,1594954
1565,1296494
1566,1491998
1567,1454946
1568,1520601
1569,1084580
1570,1542294
1571,1006364
1572,1514334
1573,1425294
1574,1635999
1575,937760
1576,1535943
1577,1599882
1578,1123274
1579,1664324
1580,1424606
1581,1539338
1582,1317784
1583,1450558
1584,1504492
1585,1598011
1586,1308377
1587,1542606
1588,1374246
1589,903783
1590,40417
1591,1568542
1592,1560123
1593,820743
1594,1667146
1595,1163902
1596,1393825
1597,1214717
1598,1641438
1599,1496228
1600,1392364
1601,1538773
1602,1013701
1603,1397144
1604,1300714
1605,1115941
1606,18748
1607,1631864
1608,1569606
1609,1556915
1610,1608126
1611,1666791
1612,1510668
1613,1482799
1614,1142062
1615,1426756
1616,1565854
1617,1623624
1618,1569608
1619,1473182
1620,1579668
1621,1334199
1622,1576332
1623,1080523
1624,1649147
1625,1666472
1626,312348
1627,1308778
1628,1279936
1629,1595686
1630,1079373
1631,1365341
1632,1261135
1633,949623
1634,897293
1635,1560812
1636,1322749
1637,882119
1638,898419
1639,1601407
1640,1137429
1641,1335382
1642,1034886
1643,1082482
1644,1137774
1645,1534417
1646,1265131
1647,1577773
1648,1665199
1649,1511888
1650,1096978
1651,1432529
1652,1665055
1653,1396318
1654,809339
1655,1080369
1656,1595082
1657,1541597
1658,1018331
1659,944388
1660,1581655
1661,1454502
1662,1612041
1663,1057439
1664,1279342
1665,1317733
1666,1641992
1667,893738
1668,1629290
1669,1425994
1670,1509508
1671,1418773
1672,1569100
1673,1427202
1674,1024716
1675,1166147
1676,1166880
1677,1359262
1678,1591625
1679,1280604
1680,1569049
1681,1591744
1682,1542352
1683,1050464
1684,1421669
1685,1438637
1686,1054880
1687,883677
1688,1561509
1689,1339270
1690,1513125
1691,1161927
1692,1406585
1693,1356202
1694,791490
1695,867926
1696,1550224
1697,1427263
1698,11544
1699,1466052
1700,1214816
1701,1387761
1702,1574758
1703,1086477
1704,869367
1705,1352851
1706,1040592
1707,1439805
1708,1584087
1709,1506409
1710,1301050
1711,1418226
1712,1541743
1713,857538
1714,1328062
1715,1169347
1716,1386462
1717,1059187
1718,1540656
1719,1274196
1720,1398318
1721,1569655
1722,1523609
1723,1513865
1724,1527570
1725,7789
1726,1633288
1727,1599511
1728,1143892
1729,1343916
1730,1600133
1731,1589278
1732,1536054
1733,1478982
1734,1089710
1735,1633570
1736,1567103
1737,1343232
1738,1540306
1739,1639668
1740,1132708
1741,1618234
1742,1425165
1743,1399486
1744,1597549
1745,1599479
1746,1596076
1747,1315497
1748,1380023
1749,1056943
1750,1381296
1751,1366838
1752,1536520
1753,732905
1754,1171473
1755,1141455
1756,1032814
1757,828405
1758,1278641
1759,1597245
1760,1538846
1761,1316507
1762,1537720
1763,1650669
1764,1426754
1765,1632849
1766,1012036
1767,1167026
1768,1312908
1769,710127
1770,1426266
1771,1426774
1772,1050477
1773,1312988
1774,1361974
1775,908195
1776,1649591
1777,1278960
1778,894135
1779,1322590
1780,1478775
1781,1525865
1782,1360710
1783,1519113
1784,1478735
1785,1605911
1786,1445891
1787,1632512
1788,1166620
1789,1659815
1790,1390965
1791,73124
1792,1534561
1793,927952
1794,726854
1795,1501436
1796,19617
1797,1624758
1798,1050068
1799,1568540
1800,1415201
1801,887793
1802,1632972
1803,1453039
1804,1054074
1805,1506071
1806,1492375
1807,1551969
1808,933141
1809,1632929
1810,1301226
1811,1344114
1812,1543065
1813,1568190
1814,1478215
1815,1633037
1816,1276144
1817,1481447
1818,1416856
1819,1588871
1820,1348883
1821,1534646
1822,1107211
1823,16972
1824,1007524
1825,1263567
1826,1341748
1827,1637187
1828,1428350
1829,1370629
1830,1259969
1831,1599390
1832,1594591
1833,1020580
1834,1536078
1835,1585047
1836,728618
1837,1082509
1838,1164833
1839,1085601
1840,1089212
1841,1588012
1842,1594061
1843,1535264
1844,1351063
1845,1358538
1846,1456827
1847,1632078
1848,1609251
1849,1642575
1850,1652103
1851,314957
1852,872080
1853,1351841
1854,796848
1855,1308001
1856,1608485
1857,1034196
1858,1505207
1859,1523557
1860,887211
1861,1435053
1862,1409751
1863,1421578
1864,1597691
1865,1360079
1866,1339161
1867,1407737
1868,1173329
1869,1607278
1870,1644956
1871,1594107
1872,1534408
1873,1580212
1874,1541353
1875,707179
1876,928566
1877,1566494
1878,1523705
1879,1483859
1880,1213647
1881,1393944
1882,1315281
1883,799004
1884,1218735
1885,1301542
1886,1350290
1887,1398103
1888,1598697
1889,897070
1890,1603276
1891,1661562
1892,1589350
1893,1352272
1894,1020585
1895,1056549
1896,1272345
1897,1542280
1898,1323414
1899,938592
1900,1387814
1901,1584246
1902,1483065
1903,1055964
1904,1535323
1905,1313756
1906,1128573
1907,1569411
1908,1426749
1909,1423296
1910,1461539
1911,1500544
1912,1056288
1913,1175130
1914,1476534
1915,1569175
1916,1288136
1917,1634047
1918,71210
1919,1356407
1920,1096343
1921,1595851
1922,1426398
1923,1482689
1924,1498035
1925,887777
1926,1536562
1927,1603837
1928,842941
1929,1435346
1930,1466999
1931,1513038
1932,940445
1933,1568552
1934,1632715
1935,1567784
1936,1055977
1937,1434997
1938,1526528
1939,1275729
1940,102212
1941,1082849
1942,1600636
1943,928204
1944,1512858
1945,1475365
1946,1426859
1947,1633387
1948,1390111
1949,1351904
1950,1086555
1951,1026200
1952,1623716
1953,1653857
1954,1635342
1955,1452857
1956,1501542
1957,1177043
1958,1262677
1959,1633862
1960,1661191
1961,1027817
1962,1351991
1963,1080383
1964,1615305
1965,1627417
1966,1613634
1967,1599822
1968,1633703
1969,315038
1970,1096986
1971,1518364
1972,1603937
1973,866361
1974,902464
1975,1624729
1976,1307878
1977,1512597
1978,1389256
1979,1455915
1980,1158202
1981,1525947
1982,1095952
1983,1259887
1984,1541895
1985,1082461
1986,1534378
1987,50672
1988,1535106
1989,1574408
1990,1650781
1991,1511037
1992,1543170
1993,1666239
1994,1595907
1995,1323510
1996,1278178
1997,877338
1998,1479355
1999,1528214
2000,5272
2001,883961
2002,3520
2003,1308685
2004,1536442
2005,1442173
2006,1029160
2007,1568894
2008,1534522
2009,1568787
2010,1481045
2011,912160
2012,1181544
2013,1512171
2014,1315339
2015,1633910
2016,1092203
2017,1168664
2018,1322853
2019,1427112
2020,1086763
2021,1062589
2022,884548
2023,1665012
2024,1599471
2025,1484256
2026,1218179
2027,1174850
2028,1275431
2029,1599468
2030,1125727
2031,315297
2032,1563592
2033,1372130
2034,1590569
2035,1552981
2036,700529
2037,713676
2038,1633050
2039,1111629
2040,1446440
2041,1260824
2042,1224014
2043,1553733
2044,757657
2045,1217541
2046,1371726
2047,1140331
2048,1436866
2049,1542300
2050,1393818
2051,1109147
2052,1475373
2053,919085
2054,1620220
2055,1036250
2056,1483938
2057,1597823
2058,1634035
2059,1505791
2060,1543100
2061,1335644
2062,1357550
2063,1543536
2064,1519611
2065,1421306
2066,1409728
2067,312955
2068,1135439
2069,1084208
2070,1632813
2071,1009022
2072,1014738
2073,1353316
2074,1547926
2075,820478
2076,1533497
2077,1578177
2078,938506
2079,1305227
2080,1666610
2081,1002912
2082,1277275
2083,1520478
2084,1383221
2085,1535061
2086,1594585
2087,1033984
2088,1443689
2089,1000097
2090,1102256
2091,887818
2092,1649592
2093,1553562
2094,1282189
2095,1631664
2096,1317724
2097,1666786
2098,712534
2099,1167711
2100,1511550
2101,1542156
2102,1649761
2103,1459754
2104,1283643
2105,1590144
2106,1511137
2107,1309148
2108,1666363
2109,1631185
2110,1600285
2111,1488921
2112,823621
2113,1518195
2114,1415030
2115,1578985
2116,1590531
2117,1518235
2118,1569391
2119,1080386
2120,1541457
2121,1512590
2122,1103804
2123,1535387
2124,914933
2125,1471474
2126,1429788
2127,1385864
2128,1576422
2129,884546
2130,92230
2131,1387921
2132,1571902
2133,860644
2134,1577133
2135,1161670
2136,1056593
2137,1633172
2138,1482970
2139,1177018
2140,932024
2141,1080380
2142,1421224
2143,1040190
2144,1502945
2145,1098062
2146,1642343
2147,1280217
2148,1593399
2149,1138996
2150,1470876
2151,1533626
2152,1621602
2153,1214822
2154,1106544
2155,1557406
2156,1415293
2157,1119254
2158,1462525
2159,1542162
2160,861462
2161,1596953
2162,1607841
2163,1568338
2164,831457
2165,1640250
2166,1300978
2167,885118
2168,1104883
2169,1342396
2170,1425949
2171,1219314
2172,1658354
2173,1496859
2174,1279915
2175,1595888
2176,1251567
